1.00E-11,31388.3
1.10E-11,29886.2
1.22E-11,28456
1.34E-11,27094.2
1.48E-11,25797.6
1.63E-11,24562.9
1.80E-11,23387.4
1.99E-11,22268.1
2.19E-11,21202.4
2.42E-11,20187.6
2.67E-11,19221.4
2.94E-11,18301.4
3.24E-11,17425.4
3.58E-11,16591.3
3.95E-11,15797.2
4.35E-11,15041
4.80E-11,14320.9
5.30E-11,13635.4
5.84E-11,12982.6
6.44E-11,12361
7.11E-11,11769.2
7.84E-11,11205.6
8.65E-11,10669
9.54E-11,10158.1
1.05E-10,9671.58
1.16E-10,9208.32
1.28E-10,8767.22
1.41E-10,8347.19
1.56E-10,7947.24
1.72E-10,7566.4
1.90E-10,7203.76
2.09E-10,6858.44
2.31E-10,6529.62
2.54E-10,6216.5
2.81E-10,5918.32
3.09E-10,5634.39
3.41E-10,5364
3.77E-10,5106.51
4.15E-10,4861.31
4.58E-10,4627.8
5.05E-10,4405.42
5.57E-10,4193.63
6.15E-10,3991.94
6.78E-10,3799.84
7.48E-10,3616.9
8.25E-10,3442.65
9.10E-10,3276.69
1.00E-09,3118.61
1.11E-09,2968.04
1.22E-09,2824.62
1.35E-09,2688.01
1.49E-09,2557.87
1.64E-09,2433.89
1.81E-09,2315.79
1.99E-09,2203.28
2.20E-09,2096.09
2.43E-09,1993.97
2.68E-09,1896.69
2.95E-09,1804.02
3.26E-09,1715.75
3.59E-09,1631.66
3.96E-09,1551.57
4.37E-09,1475.27
4.82E-09,1402.56
5.32E-09,1333.25
5.87E-09,1267.2
6.47E-09,1204.27
7.14E-09,1144.35
7.87E-09,1087.3
8.68E-09,1033
9.58E-09,981.351
1.06E-08,932.212
1.17E-08,885.441
1.29E-08,840.893
1.42E-08,798.45
1.56E-08,758.012
1.73E-08,719.467
1.90E-08,682.698
2.10E-08,647.592
2.32E-08,614.052
2.52E-08,585.734
2.53E-08,584.994
2.79E-08,554.105
3.08E-08,524.438
3.40E-08,495.987
3.75E-08,468.724
4.13E-08,442.523
4.53E-08,419.069
4.96E-08,396.502
5.43E-08,374.79
5.95E-08,353.947
6.51E-08,333.944
7.13E-08,314.804
7.76E-08,297.894
8.44E-08,281.726
9.18E-08,266.318
9.99E-08,251.697
1.08E-07,239.014
1.16E-07,227.075
1.26E-07,215.924
1.35E-07,206.552
1.45E-07,197.998
1.54E-07,191.106
1.64E-07,185.106
1.74E-07,180.668
1.84E-07,177.245
1.93E-07,175.25
2.03E-07,174.365
2.05E-07,174.338
2.15E-07,175.063
2.26E-07,177.267
2.37E-07,180.945
2.62E-07,190.693
2.71E-07,193.411
2.79E-07,194.535
2.82E-07,194.586
2.88E-07,194.049
2.94E-07,192.574
3.00E-07,190.112
3.09E-07,185.357
3.18E-07,179.127
3.31E-07,167.829
3.53E-07,149.202
3.65E-07,139.144
3.76E-07,131.586
3.87E-07,124.55
3.97E-07,118.063
4.09E-07,112.118
